hotel_name,hotel_name_link,review_score,review_score_text,review_score_title,hotel_image,hotel_price
Ascott Sudirman Jakarta,"
/hotel/id/ascott-sudirman-jakarta-jakarta.en-gb.html?aid=304142&label=gen173rf-1FCAEoggI46AdIM1gDaGiIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGiAgptZWRpdW0uY29tqAIDuALQu66BBsACAdICJGY2OGM2ZmU4LTQwZWYtNDMxNy1hYjNhLWJmN2U5ODA3ZmU1NNgCBeACAQ&sid=fa79b08fd35d193b6393d4f51a4128de&all_sr_blocks=334209202_285696285_0_2_0&checkin=2021-02-20&checkout=2021-02-21&dest_id=-2679652&dest_type=city&group_adults=2&group_children=0&hapos=1&highlighted_blocks=334209202_285696285_0_2_0&hpos=1&no_rooms=1&sr_order=popularity&sr_pri_blocks=334209202_285696285_0_2_0__106218700&srepoch=1613474433&srpvid=888f4fc04856006a&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",8.7,"1,259 reviews",Fabulous,https://cf.bstatic.com/xdata/images/hotel/square600/147950076.jpg?k=07982175126b0b6ab75d4124ff24eaf1bdfa1baaa7cdad7d61244fe9bc33d825&o=,"Rp 1,062,187"
Ascott Jakarta,"
/hotel/id/ascott-jakarta.en-gb.html?aid=304142&label=gen173rf-1FCAEoggI46AdIM1gDaGiIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGiAgptZWRpdW0uY29tqAIDuALQu66BBsACAdICJGY2OGM2ZmU4LTQwZWYtNDMxNy1hYjNhLWJmN2U5ODA3ZmU1NNgCBeACAQ&sid=fa79b08fd35d193b6393d4f51a4128de&all_sr_blocks=4268002_285696429_0_2_0&checkin=2021-02-20&checkout=2021-02-21&dest_id=-2679652&dest_type=city&group_adults=2&group_children=0&hapos=2&highlighted_blocks=4268002_285696429_0_2_0&hpos=2&no_rooms=1&sr_order=popularity&sr_pri_blocks=4268002_285696429_0_2_0__93472500&srepoch=1613474433&srpvid=888f4fc04856006a&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",8.6,"1,811 reviews",Fabulous,https://cf.bstatic.com/xdata/images/hotel/square600/80041955.jpg?k=8eb2b94e98c6608dc2d49c2ef3918c4db615d82352f4962edd09060f1f02a4e6&o=,"Rp 934,725"
Four Seasons Hotel Jakarta,"
/hotel/id/four-seasons-jakarta-jakarta.en-gb.html?aid=304142&label=gen173rf-1FCAEoggI46AdIM1gDaGiIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGiAgptZWRpdW0uY29tqAIDuALQu66BBsACAdICJGY2OGM2ZmU4LTQwZWYtNDMxNy1hYjNhLWJmN2U5ODA3ZmU1NNgCBeACAQ&sid=fa79b08fd35d193b6393d4f51a4128de&all_sr_blocks=180362605_237421634_2_1_0&checkin=2021-02-20&checkout=2021-02-21&dest_id=-2679652&dest_type=city&group_adults=2&group_children=0&hapos=3&highlighted_blocks=180362605_237421634_2_1_0&hpos=3&no_rooms=1&sr_order=popularity&sr_pri_blocks=180362605_237421634_2_1_0__276388199&srepoch=1613474433&srpvid=888f4fc04856006a&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",9.2,409 reviews,Superb,https://cf.bstatic.com/xdata/images/hotel/square600/79188200.jpg?k=6a2b1363be9fe3467c14af5b95c4979165fd620815c2df7ca50e135b689b1272&o=,"Rp 2,763,882"
Shangri-La Hotel Jakarta,"
/hotel/id/shangri-la-jakarta.en-gb.html?aid=304142&label=gen173rf-1FCAEoggI46AdIM1gDaGiIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGiAgptZWRpdW0uY29tqAIDuALQu66BBsACAdICJGY2OGM2ZmU4LTQwZWYtNDMxNy1hYjNhLWJmN2U5ODA3ZmU1NNgCBeACAQ&sid=fa79b08fd35d193b6393d4f51a4128de&all_sr_blocks=17680108_165845774_2_2_0&checkin=2021-02-20&checkout=2021-02-21&dest_id=-2679652&dest_type=city&group_adults=2&group_children=0&hapos=4&highlighted_blocks=17680108_165845774_2_2_0&hpos=4&no_rooms=1&sr_order=popularity&sr_pri_blocks=17680108_165845774_2_2_0__166759699&srepoch=1613474433&srpvid=888f4fc04856006a&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",8.9,685 reviews,Fabulous,https://cf.bstatic.com/xdata/images/hotel/square600/280444222.jpg?k=26a427bf05ece988d2b69ef7417fdaece2532d2c48132a4f100b3af4b375ff3a&o=,"Rp 1,667,597"
Ascott Kuningan Jakarta,"
/hotel/id/ascott-kuningan-jakarta.en-gb.html?aid=304142&label=gen173rf-1FCAEoggI46AdIM1gDaGiIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGiAgptZWRpdW0uY29tqAIDuALQu66BBsACAdICJGY2OGM2ZmU4LTQwZWYtNDMxNy1hYjNhLWJmN2U5ODA3ZmU1NNgCBeACAQ&sid=fa79b08fd35d193b6393d4f51a4128de&all_sr_blocks=110239201_285696379_0_2_0&checkin=2021-02-20&checkout=2021-02-21&dest_id=-2679652&dest_type=city&group_adults=2&group_children=0&hapos=5&highlighted_blocks=110239201_285696379_0_2_0&hpos=5&no_rooms=1&sr_order=popularity&sr_pri_blocks=110239201_285696379_0_2_0__127462499&srepoch=1613474433&srpvid=888f4fc04856006a&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",8.6,865 reviews,Fabulous,https://cf.bstatic.com/xdata/images/hotel/square600/68872049.jpg?k=ad580c0f25899ffa526251dc8d38dac76fa3e4b2db3495d8111929cf971ddc1e&o=,"Rp 1,274,625"
Hotel Indonesia Kempinski Jakarta,"
/hotel/id/indonesia-kempinski.en-gb.html?aid=304142&label=gen173rf-1FCAEoggI46AdIM1gDaGiIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGiAgptZWRpdW0uY29tqAIDuALQu66BBsACAdICJGY2OGM2ZmU4LTQwZWYtNDMxNy1hYjNhLWJmN2U5ODA3ZmU1NNgCBeACAQ&sid=fa79b08fd35d193b6393d4f51a4128de&all_sr_blocks=28676920_181728904_2_1_0&checkin=2021-02-20&checkout=2021-02-21&dest_id=-2679652&dest_type=city&group_adults=2&group_children=0&hapos=6&highlighted_blocks=28676920_181728904_2_1_0&hpos=6&no_rooms=1&sr_order=popularity&sr_pri_blocks=28676920_181728904_2_1_0__181499999&srepoch=1613474433&srpvid=888f4fc04856006a&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",9.0,505 reviews,Superb,https://cf.bstatic.com/xdata/images/hotel/square600/43388087.jpg?k=c586db5dfc8d40bf8bf6f753aeaf2bdaa059c40d30d2a237fba4260712311d71&o=,"Rp 1,815,000"
Sheraton Grand Jakarta Gandaria City Hotel,"
/hotel/id/sheraton-grand-jakarta-gandaria-city-hotel.en-gb.html?aid=304142&label=gen173rf-1FCAEoggI46AdIM1gDaGiIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGiAgptZWRpdW0uY29tqAIDuALQu66BBsACAdICJGY2OGM2ZmU4LTQwZWYtNDMxNy1hYjNhLWJmN2U5ODA3ZmU1NNgCBeACAQ&sid=fa79b08fd35d193b6393d4f51a4128de&all_sr_blocks=145353706_274564689_2_2_0&checkin=2021-02-20&checkout=2021-02-21&dest_id=-2679652&dest_type=city&group_adults=2&group_children=0&hapos=7&highlighted_blocks=145353706_274564689_2_2_0&hpos=7&no_rooms=1&sr_order=popularity&sr_pri_blocks=145353706_274564689_2_2_0__174240000&srepoch=1613474433&srpvid=888f4fc04856006a&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",8.9,271 reviews,Fabulous,https://cf.bstatic.com/xdata/images/hotel/square600/248978393.jpg?k=1150b0e4efa0e588b0e4ef9ae26a574a3366194723c2b6ef551160d811a2624f&o=,"Rp 1,742,400"
The Westin Jakarta,"
/hotel/id/the-westin-jakarta.en-gb.html?aid=304142&label=gen173rf-1FCAEoggI46AdIM1gDaGiIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGiAgptZWRpdW0uY29tqAIDuALQu66BBsACAdICJGY2OGM2ZmU4LTQwZWYtNDMxNy1hYjNhLWJmN2U5ODA3ZmU1NNgCBeACAQ&sid=fa79b08fd35d193b6393d4f51a4128de&all_sr_blocks=182402307_274564695_2_42_0&checkin=2021-02-20&checkout=2021-02-21&dest_id=-2679652&dest_type=city&group_adults=2&group_children=0&hapos=8&highlighted_blocks=182402307_274564695_2_42_0&hpos=8&no_rooms=1&sr_order=popularity&sr_pri_blocks=182402307_274564695_2_42_0__180289999&srepoch=1613474433&srpvid=888f4fc04856006a&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",9.0,391 reviews,Superb,https://cf.bstatic.com/xdata/images/hotel/square600/253295379.jpg?k=a1cf32340962b3f73beda23cbf24b158e8bdb45153ff9895b6ee4830dedbed2e&o=,"Rp 1,802,900"
DoubleTree by Hilton Jakarta - Diponegoro,"
/hotel/id/doubletree-by-hilton-jakarta-diponegoro.en-gb.html?aid=304142&label=gen173rf-1FCAEoggI46AdIM1gDaGiIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGiAgptZWRpdW0uY29tqAIDuALQu66BBsACAdICJGY2OGM2ZmU4LTQwZWYtNDMxNy1hYjNhLWJmN2U5ODA3ZmU1NNgCBeACAQ&sid=fa79b08fd35d193b6393d4f51a4128de&all_sr_blocks=71576409_277207646_2_42_0&checkin=2021-02-20&checkout=2021-02-21&dest_id=-2679652&dest_type=city&group_adults=2&group_children=0&hapos=9&highlighted_blocks=71576409_277207646_2_42_0&hpos=9&no_rooms=1&sr_order=popularity&sr_pri_blocks=71576409_277207646_2_42_0__89842499&srepoch=1613474433&srpvid=888f4fc04856006a&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",8.6,"1,112 reviews",Fabulous,https://cf.bstatic.com/xdata/images/hotel/square600/123047575.jpg?k=eedd74299f779917c33603ebc283e892dbf6ae16cd5179609bc252751afcf247&o=,"Rp 898,425"
Grand Hyatt Jakarta,"
/hotel/id/grand-hyatt-jakarta-jakarta6.en-gb.html?aid=304142&label=gen173rf-1FCAEoggI46AdIM1gDaGiIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGiAgptZWRpdW0uY29tqAIDuALQu66BBsACAdICJGY2OGM2ZmU4LTQwZWYtNDMxNy1hYjNhLWJmN2U5ODA3ZmU1NNgCBeACAQ&sid=fa79b08fd35d193b6393d4f51a4128de&all_sr_blocks=132476106_269949821_2_2_0&checkin=2021-02-20&checkout=2021-02-21&dest_id=-2679652&dest_type=city&group_adults=2&group_children=0&hapos=10&highlighted_blocks=132476106_269949821_2_2_0&hpos=10&no_rooms=1&sr_order=popularity&sr_pri_blocks=132476106_269949821_2_2_0__168225600&srepoch=1613474433&srpvid=888f4fc04856006a&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",8.7,308 reviews,Fabulous,https://cf.bstatic.com/xdata/images/hotel/square600/135005593.jpg?k=f2f256cd2a44257899ff343fb3b0cf14baa0095cc187edcede28619a8c0bceed&o=,"Rp 1,682,256"
